name,description,price,mrp,stock,category,brand,image_url
Samsung 65 Inch 4K QLED Smart TV,"Quantum Dot technology with 4K resolution and built-in Alexa. HDR10+ support and 120Hz refresh rate for smooth motion.",74999,89999,15,Electronics,Samsung,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=600
boAt Rockerz 450 Bluetooth Headphone,"45 hours playback with mic. Foldable design with padded ear cushions. 40mm dynamic drivers for deep bass.",1299,1999,80,Electronics,boAt,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600
Lenovo IdeaPad Slim 3 Laptop,"Intel Core i5 12th Gen 8GB RAM 512GB SSD 15.6 inch FHD display Windows 11 Home. Thin and light for everyday use.",45999,54999,10,Electronics,Lenovo,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=600
Canon EOS 1500D DSLR Camera,"24.1MP APS-C sensor with DIGIC 4+ processor. Built-in Wi-Fi and NFC. Full HD video recording included with kit lens.",34999,42000,8,Electronics,Canon,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=600
Anker 65W USB-C Charger,"GaN technology supports 65W fast charging. Compatible with MacBook laptop tablet and phone. Foldable plug design.",2499,3499,120,Electronics,Anker,https://images.unsplash.com/photo-1591370874773-6702e8f12fd8?w=600
Prestige Iris 750W Mixer Grinder,"3 stainless steel jars including a chutney jar. 3-speed control with incher. Motor overload protection.",2699,3500,45,Home & Kitchen,Prestige,https://images.unsplash.com/photo-1570222094114-d054a817e56b?w=600
Solimo Bamboo Cutting Board Set,"Set of 3 premium bamboo cutting boards in different sizes. Non-slip rubber feet. Dishwasher safe and eco-friendly.",899,1299,60,Home & Kitchen,Solimo,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=600
Milton Thermosteel Flip Lid Flask 1000ml,"Keeps beverages hot for 24 hours and cold for 48 hours. Food grade stainless steel inner wall. Leak-proof flip lid.",799,1099,200,Home & Kitchen,Milton,https://images.unsplash.com/photo-1553361371-9b22f78e8b1d?w=600
Pigeon Non-stick Fry Pan 24cm,"Hard anodised non-stick coating with riveted handles. Induction compatible. 24cm diameter ideal for everyday cooking.",649,999,90,Home & Kitchen,Pigeon,https://images.unsplash.com/photo-1584568694244-14fbdf83bd30?w=600
Amazon Basics Microfibre Cloth 6-Pack,"Ultra-soft 300 GSM microfibre for streak-free cleaning. Machine washable and reusable. Ideal for all surfaces.",349,499,300,Home & Kitchen,Amazon Basics,https://images.unsplash.com/photo-1563453392212-326f5e854473?w=600
Allen Solly Men's Slim Fit Chinos,"100% cotton twill fabric with stretch. 5-pocket styling. Available in multiple colours. Machine washable.",1299,2499,50,Fashion,Allen Solly,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?w=600
Levi's Women's 711 Skinny Jeans,"Mid-rise skinny fit with sculpting waistband. Premium denim with 2% elastane for stretch. Classic 5-pocket design.",2499,3999,35,Fashion,Levi's,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=600
